From Hall,Destination,Route,Safety (1-5),Distance (km),Time (min),Traffic (1-10),Road Quality (1-5)
Azad,Nalanda Complex, via Ardeshir Dalal Ave,4,2.5,6,8,4
Azad,Nalanda Complex, via Nalini Ranjan Sarkar Ave,3,3.1,8,4,3
Azad,Main Building, via Scholar's Ave,3,1.6,5,8,4
Azad,Main Building, via Nalini Ranjan Sarkar Ave,4,1.7,5,5,3
Azad,Tech Market, via Tech Market Road,2.5,0.85,3,4,4
Azad,Tech Market, via School Road,3,0.9,3,3,4
Azad,Tech Market, via Schhol road and Nursery Road,3,0.75,3,2,4
Azad,Gymkhana, via Scholar's Ave,4,0.85,3,5,5
LBS,Nalanda Complex, via Ardeshir Dalal Ave,4.5,2.8,7,8,5
LBS,Nalanda Complex,via Scholar's Ave,4,2.9,9,7.5,4.5
LBS,Main Building, via Scholar's Ave,4,1.5,5,7.5,4.5
LBS,Main Building, via Nalini Ranjan Sarkar Ave,3,1.9,6,5,3
LBS,Tech Market, via Tech Market Road,5,1.1,4,4,4
LBS,Gymkhana, via Scholar's Ave,4,0.7,3,7.5,4.5
RP,Gymkhana, via Scholar's Ave,4,0.75,2,7,4.5
RP,Nalanda Complex, via Ardeshir Dalal Ave,4,1.9,5,8.5,4
RP,Nalanda Complex, via New Bitumen road and Ardeshir Dalal Ave,5,1.8,6,5,5
RP,Nalanda Complex,"via New Bitumen road, IIT Main road and Ardeshir Dalal Ave",4.5,1.8,6,5,4.5
RP,Tech Market, via Scholar's Ave,4,1.5,4,7,4.5
RP,Tech Market, via Nalini Ranjan Sarkar Ave,4.5,1.5,4,5,4
RP,Main Building, via New Bitumen Road,3,0.35,2,8,3.5
MMM,Gymkhana, via Malviya Marg,3.5,0.45,1,4,3
MMM,Nalanda Complex, via Ardeshir Dalal Ave,4.5,2.3,6,7.5,4
MMM,Nalanda Complex, via Scholar's Ave,4,2.5,7,8,4.5
MMM,Tech Market, via Scholar's Ave,4,1.1,3,7.5,4
MMM,Main Building, via Scholar's Ave,4,1,3,7.5,4
Patel,Gymkhana, via PAN loop and Scholar's Ave,2.5,0.4,2,7,4
Patel,Nalanda Complex, via Nalini Ranjan Sarkar Ave and Ardeshir Dalal Ave,3.5,2.4,6,6,2.5
Patel,Nalanda Complex, via Scholar's Ave,4.5,2.6,7,7.5,4.5
Patel,Tech Market," via PAN loop, Scholar's Ave and Tech Market Road",3.5,0.7,2,6,4
Patel,Main Building, via Scholar's Ave,4,1.1,2,7,4
RK,Gymkhana, via Scholar's Ave,4.5,0.6,2,7,4
RK,Nalanda Complex, via Ardeshir Dalal Ave,4.5,2.2,5,7.5,3.5
RK,Nalanda Complex, via Scholar's Ave and Ardeshir Dalal Ave,4,2,6,8,4
